,date,headline,keyword
113,2006.12.11. 오후 5:46,남양주 가운 국민임대 1805가구 공급,"['남양주', '가운', '국민', '국민임대', '임대', '1805', '1805가구', '가구', '공급']"
114,2006.12.11. 오후 5:45,뉴타운 아파트 이렇게 콕 집어요,"['뉴', '뉴타운', '타운', '아파트']"
115,2006.12.11. 오후 5:44,주택담보대출 금리 더 오른다,"['주택', '주택담보대출', '담보', '대출', '금리']"
116,2006.12.11. 오후 5:21,영종지구 40%만 연내 보상,"['영종', '영종지구', '지구', '40', '만', '연내', '보상']"
117,2006.12.11. 오후 5:06,전국 아파트 시가총액 올들어 300兆 증가,"['전국', '아파트', '시가', '시가총액', '총액', '올', '300', '증가']"
118,2006.12.11. 오후 4:57,연말 부동산 재테크 안갯속 주택 시장 … 그래도 길은 보인다,"['연말', '부동산', '재테크', '안', '안갯속', '갯', '속', '주택', '시장', '길']"
119,2006.12.11. 오후 4:52,연말 부동산 재테크 분양 하이라이트 은평구 신사동 두산위브,"['연말', '부동산', '재테크', '분양', '하이라이트', '은평', '은평구', '구', '신사', '신사동', '동', '산', '산위', '위']"
120,2006.12.11. 오후 4:51,연말 부동산 재테크 숨겨진 진주 미분양 찾아라,"['연말', '부동산', '재테크', '진주', '미분양']"
121,2006.12.11. 오후 4:51,강남 1주택자 갈곳이 없다,"['강남', '1', '1주택자', '주택자', '곳']"
122,2006.12.11. 오후 4:51,공동주택 공시가격 산정 동행취재,"['공동', '공동주택', '주택', '공시', '공시가격', '가격', '산정', '동행', '동행취재', '취재']"
123,2006.12.11. 오후 4:50,연말 부동산 재테크 12월의 유망 경매물건은,"['연말', '부동산', '재테크', '12', '12월', '월', '유망', '경매', '경매물건', '물건']"
124,2006.12.11. 오후 4:48,SH공사 국민임대 914가구 공급,"['공사', '국민', '국민임대', '임대', '914', '914가구', '가구', '공급']"
125,2006.12.11. 오후 4:48,남양주 가운택지지구에 국민임대 1805가구 공급,"['남양주', '가운', '가운택지지구', '택지', '지구', '국민', '국민임대', '임대', '1805', '1805가구', '가구', '공급']"
126,2006.12.11. 오후 4:42,이천에 미니신도시 추진,"['이천', '미니', '미니신도시', '신도시', '추진']"
127,2006.12.11. 오후 4:42,분양정보 대림산업 용인 마북 404가구,"['분양', '분양정보', '정보', '대림', '대림산업', '산업', '용인', '마', '마북', '북', '404', '404가구', '가구']"
128,2006.12.11. 오후 4:39,2007년 유망 부동산은 무엇일까,"['2007', '2007년', '년', '유망', '부동산', '무엇']"
129,2006.12.11. 오후 4:38,경북 구미에 ‘신일 해피트리’,"['경북', '구미', '신일', '해피', '해피트리', '트리']"
130,2006.12.11. 오후 4:38,‘필리핀 세부리조트’13일 분양,"['필리핀', '세부', '세부리조트', '리조트', '13', '13일', '일', '분양']"
131,2006.12.11. 오후 4:38,부동산가격전망지수 127.1… “집값상승기세 죽지않아”,"['부동산', '부동산가격전망지수', '가격', '전망', '지수', '127.1', '집', '집값상승기세', '값', '상승', '기세']"
132,2006.12.11. 오후 4:30,성남도촌 인기 판교열풍 버금가,"['성남', '촌', '인기', '판교', '판교열풍', '열풍']"
133,2006.12.11. 오후 4:11,연말 부동산 재테크 부동산 금융상품 연말정산 … 세금혜택 · 내집마련 한번에,"['연말', '부동산', '재테크', '금융', '금융상품', '상품', '연말정산', '정산', '세금', '세금혜택', '혜택', '내', '집', '집마련', '마련', '한번']"
134,2006.12.11. 오후 4:08,연말 부동산 재테크 내년부터 부동산 관련세제 대폭 강화된다는데 …,"['연말', '부동산', '재테크', '내년', '관련', '관련세제', '세제', '강화', '데']"
135,2006.12.11. 오후 4:08,서울 임대아파트 914가구 공급,"['서울', '임대', '임대아파트', '아파트', '914', '914가구', '가구', '공급']"
136,2006.12.11. 오후 3:58,李건교 데뷔작은 내년 봄 전월세대책,"['교', '데뷔작', '내년', '봄', '전월', '전월세대', '세대']"
137,2006.12.11. 오후 3:55,연말 부동산 재테크 연말 청약 통장에 맞게 전략 세워라,"['연말', '부동산', '재테크', '청약', '통장', '전략', '라']"
138,2006.12.11. 오후 3:53,연말 부동산 재테크 지방 분양시장 대단지 주목,"['연말', '부동산', '재테크', '지방', '분양', '분양시장', '시장', '대', '대단지', '단지', '주목']"
139,2006.12.11. 오후 3:53,연말 부동산 재테크 분양 하이라이트  수원 권선동 SK VIEW 등,"['연말', '부동산', '재테크', '분양', '하이라이트', '수원', '권선', '권선동', '동', '등']"
