,total,하락세,하락,급락,내림세,하락…,하락...,하락..
769,7.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0
770,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
771,19.0,4.0,13.0,0.0,0.0,2.0,0.0,0.0
772,9.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0
773,6.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0
774,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
775,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
776,6.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
778,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
780,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
781,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
782,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
