,total,상승세,상승,올라,급등,상승…,오름세,상승..,상승...
738,22.0,2.0,9.0,2.0,2.0,3.0,4.0,0.0,0.0
739,17.0,3.0,8.0,2.0,1.0,1.0,2.0,0.0,0.0
740,35.0,4.0,16.0,3.0,6.0,0.0,6.0,0.0,0.0
741,59.0,11.0,21.0,5.0,14.0,6.0,2.0,0.0,0.0
742,24.0,10.0,7.0,3.0,2.0,1.0,1.0,0.0,0.0
743,33.0,7.0,13.0,5.0,4.0,1.0,3.0,0.0,0.0
744,25.0,10.0,11.0,2.0,0.0,1.0,1.0,0.0,0.0
745,23.0,4.0,13.0,2.0,1.0,1.0,2.0,0.0,0.0
746,10.0,2.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0
747,30.0,1.0,20.0,4.0,0.0,4.0,0.0,0.0,1.0
748,28.0,1.0,20.0,2.0,2.0,2.0,1.0,0.0,0.0
749,16.0,5.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0
750,26.0,5.0,13.0,3.0,5.0,0.0,0.0,0.0,0.0
751,44.0,4.0,24.0,4.0,1.0,9.0,2.0,0.0,0.0
752,45.0,2.0,19.0,9.0,9.0,5.0,1.0,0.0,0.0
753,45.0,5.0,30.0,4.0,3.0,2.0,1.0,0.0,0.0
754,36.0,2.0,19.0,6.0,3.0,4.0,2.0,0.0,0.0
755,44.0,5.0,17.0,4.0,17.0,1.0,0.0,0.0,0.0
756,38.0,5.0,18.0,7.0,5.0,1.0,0.0,0.0,2.0
757,38.0,6.0,20.0,9.0,1.0,1.0,1.0,0.0,0.0
758,41.0,7.0,17.0,9.0,4.0,2.0,2.0,0.0,0.0
759,83.0,13.0,36.0,15.0,11.0,3.0,4.0,0.0,1.0
760,20.0,0.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0
761,51.0,4.0,30.0,6.0,4.0,4.0,3.0,0.0,0.0
762,55.0,15.0,26.0,8.0,2.0,2.0,2.0,0.0,0.0
763,61.0,14.0,26.0,5.0,3.0,8.0,4.0,0.0,1.0
764,43.0,12.0,20.0,6.0,4.0,0.0,0.0,0.0,1.0
765,56.0,11.0,26.0,6.0,7.0,3.0,3.0,0.0,0.0
766,61.0,17.0,25.0,9.0,7.0,3.0,0.0,0.0,0.0
767,50.0,13.0,17.0,8.0,5.0,4.0,3.0,0.0,0.0
768,50.0,8.0,22.0,8.0,5.0,3.0,4.0,0.0,0.0
769,20.0,2.0,9.0,4.0,4.0,0.0,1.0,0.0,0.0
770,72.0,13.0,33.0,14.0,1.0,9.0,1.0,0.0,1.0
771,89.0,11.0,50.0,11.0,8.0,6.0,2.0,0.0,1.0
772,71.0,5.0,40.0,12.0,10.0,3.0,0.0,0.0,1.0
773,55.0,3.0,29.0,6.0,13.0,3.0,0.0,0.0,1.0
774,50.0,3.0,27.0,11.0,4.0,3.0,2.0,0.0,0.0
775,44.0,10.0,18.0,3.0,7.0,2.0,2.0,1.0,1.0
776,46.0,10.0,26.0,2.0,6.0,2.0,0.0,0.0,0.0
777,49.0,5.0,30.0,4.0,7.0,2.0,0.0,0.0,1.0
778,89.0,11.0,49.0,9.0,15.0,4.0,1.0,0.0,0.0
779,54.0,2.0,34.0,8.0,5.0,2.0,2.0,0.0,1.0
780,53.0,5.0,28.0,4.0,11.0,3.0,0.0,0.0,2.0
781,50.0,7.0,25.0,8.0,3.0,7.0,0.0,0.0,0.0
782,53.0,3.0,26.0,13.0,5.0,6.0,0.0,0.0,0.0
