,total,약세,안정세,보합세,보합
405,0.0,0.0,0.0,0.0,0.0
406,2.0,0.0,0.0,2.0,0.0
407,1.0,0.0,0.0,1.0,0.0
408,1.0,1.0,0.0,0.0,0.0
409,3.0,0.0,0.0,2.0,1.0
410,1.0,1.0,0.0,0.0,0.0
411,5.0,4.0,0.0,1.0,0.0
412,3.0,1.0,0.0,1.0,1.0
413,5.0,0.0,0.0,2.0,3.0
414,4.0,2.0,0.0,2.0,0.0
415,4.0,1.0,1.0,1.0,1.0
416,4.0,2.0,0.0,2.0,0.0
417,2.0,0.0,0.0,2.0,0.0
418,4.0,2.0,0.0,1.0,1.0
419,1.0,1.0,0.0,0.0,0.0
420,0.0,0.0,0.0,0.0,0.0
421,0.0,0.0,0.0,0.0,0.0
422,0.0,0.0,0.0,0.0,0.0
423,0.0,0.0,0.0,0.0,0.0
424,0.0,0.0,0.0,0.0,0.0
425,2.0,1.0,1.0,0.0,0.0
426,0.0,0.0,0.0,0.0,0.0
427,0.0,0.0,0.0,0.0,0.0
428,0.0,0.0,0.0,0.0,0.0
429,2.0,0.0,0.0,1.0,1.0
430,3.0,0.0,0.0,1.0,2.0
431,2.0,0.0,2.0,0.0,0.0
432,3.0,1.0,0.0,1.0,1.0
433,5.0,2.0,0.0,1.0,2.0
434,1.0,0.0,0.0,0.0,1.0
435,2.0,0.0,1.0,0.0,1.0
436,7.0,1.0,0.0,4.0,2.0
437,5.0,0.0,1.0,1.0,3.0
438,1.0,1.0,0.0,0.0,0.0
439,3.0,2.0,0.0,0.0,1.0
440,4.0,1.0,1.0,1.0,1.0
441,4.0,0.0,0.0,2.0,2.0
442,7.0,1.0,0.0,3.0,3.0
443,4.0,0.0,0.0,1.0,3.0
444,3.0,1.0,0.0,1.0,1.0
445,2.0,0.0,0.0,1.0,1.0
446,0.0,0.0,0.0,0.0,0.0
447,2.0,1.0,1.0,0.0,0.0
448,0.0,0.0,0.0,0.0,0.0
449,0.0,0.0,0.0,0.0,0.0
450,2.0,0.0,0.0,2.0,0.0
451,0.0,0.0,0.0,0.0,0.0
452,1.0,1.0,0.0,0.0,0.0
453,0.0,0.0,0.0,0.0,0.0
454,1.0,0.0,0.0,1.0,0.0
455,0.0,0.0,0.0,0.0,0.0
456,2.0,0.0,0.0,1.0,1.0
457,0.0,0.0,0.0,0.0,0.0
458,1.0,0.0,0.0,1.0,0.0
459,0.0,0.0,0.0,0.0,0.0
460,0.0,0.0,0.0,0.0,0.0
461,2.0,1.0,0.0,0.0,1.0
462,3.0,0.0,0.0,1.0,2.0
463,3.0,1.0,0.0,0.0,2.0
464,1.0,0.0,0.0,1.0,0.0
465,3.0,0.0,0.0,2.0,1.0
466,3.0,0.0,0.0,1.0,2.0
467,5.0,0.0,0.0,3.0,2.0
468,6.0,0.0,0.0,0.0,6.0
469,5.0,1.0,0.0,3.0,1.0
470,0.0,0.0,0.0,0.0,0.0
471,2.0,0.0,0.0,1.0,1.0
472,0.0,0.0,0.0,0.0,0.0
